user_id,username,email,registration_date,last_login_date,country,age,is_premium_user,total_orders
10001,samwilson81,samwilson81@example.com,2018-08-02T00:00:00,2020-02-01T00:00:00,Germany,69,true,2
10002,judyanderson85,judyanderson85@example.com,2022-12-29T00:00:00,2023-07-19T00:00:00,Brazil,69,true,13
10003,yaradavis68,yaradavis68@example.com,2023-12-28T00:00:00,2023-12-30T00:00:00,Mexico,47,false,2
10004,umajones44,umajones44@example.com,2022-10-31T00:00:00,2022-12-31T00:00:00,UK,41,false,26
10005,kevinanderson45,kevinanderson45@example.com,2020-07-13T00:00:00,2021-06-24T00:00:00,Canada,73,false,37
10006,kevinmoore82,kevinmoore82@example.com,2020-10-20T00:00:00,2022-08-08T00:00:00,Japan,44,false,9
10007,quinnallen10,quinnallen10@example.com,2021-12-03T00:00:00,2023-07-23T00:00:00,Mexico,23,false,40
10008,oliviajackson73,oliviajackson73@example.com,2019-05-19T00:00:00,2023-02-17T00:00:00,Germany,39,false,49
10009,liammiller98,liammiller98@example.com,2020-06-28T00:00:00,2020-11-17T00:00:00,Mexico,65,true,40
10010,wendyallen37,wendyallen37@example.com,2023-08-29T00:00:00,2023-09-25T00:00:00,Canada,68,false,10
10011,everobinson41,everobinson41@example.com,2021-10-18T00:00:00,2023-08-30T00:00:00,UK,44,true,40
10012,yaramoore36,yaramoore36@example.com,2018-01-14T00:00:00,,Canada,43,false,8
10013,zoegarcia58,zoegarcia58@example.com,2020-11-10T00:00:00,2022-10-27T00:00:00,India,18,false,22
10014,ivandavis80,ivandavis80@example.com,2019-06-10T00:00:00,2023-11-10T00:00:00,Japan,28,false,46
10015,miarobinson68,miarobinson68@example.com,2022-12-06T00:00:00,2023-10-19T00:00:00,UK,53,false,37
10016,rachelwilliams77,rachelwilliams77@example.com,2020-05-20T00:00:00,2020-07-18T00:00:00,Brazil,18,false,22
10017,judythomas26,judythomas26@example.com,2023-01-20T00:00:00,2023-04-12T00:00:00,Brazil,43,true,42
10018,noahlee11,noahlee11@example.com,2019-02-05T00:00:00,2020-10-04T00:00:00,Mexico,34,false,7
10019,charliethompson57,charliethompson57@example.com,2020-09-21T00:00:00,2021-02-14T00:00:00,Germany,25,false,11
10020,xavierlewis60,xavierlewis60@example.com,2020-03-16T00:00:00,2022-09-17T00:00:00,France,61,false,19
10021,heidiclark29,heidiclark29@example.com,2020-07-10T00:00:00,2023-06-20T00:00:00,Mexico,31,false,48
10022,heidirodriguez46,heidirodriguez46@example.com,2021-02-07T00:00:00,2023-09-20T00:00:00,USA,71,true,48
10023,quinngarcia82,quinngarcia82@example.com,2023-03-23T00:00:00,2023-07-03T00:00:00,France,21,false,28
10024,frankwalker99,frankwalker99@example.com,2022-09-03T00:00:00,2022-12-11T00:00:00,India,69,false,40
10025,frankwilliams21,frankwilliams21@example.com,2021-08-25T00:00:00,2023-05-01T00:00:00,Germany,38,false,45
10026,ivanmiller37,ivanmiller37@example.com,2022-08-15T00:00:00,2023-02-06T00:00:00,Japan,69,false,33
10027,wendymartinez77,wendymartinez77@example.com,2023-04-23T00:00:00,2023-12-27T00:00:00,France,59,false,25
10028,zoedavis78,zoedavis78@example.com,2020-02-10T00:00:00,2020-10-18T00:00:00,Mexico,33,false,17
10029,rachellewis89,rachellewis89@example.com,2019-09-13T00:00:00,2023-02-08T00:00:00,Germany,40,true,36
10030,daviddavis13,daviddavis13@example.com,2019-08-08T00:00:00,2022-10-16T00:00:00,USA,52,false,24
10031,alicerobinson11,alicerobinson11@example.com,2018-04-04T00:00:00,2022-08-21T00:00:00,Australia,56,false,49
10032,gracethompson77,gracethompson77@example.com,2022-10-19T00:00:00,2023-12-04T00:00:00,Germany,73,false,18
10033,samsmith18,samsmith18@example.com,2020-10-27T00:00:00,2022-11-17T00:00:00,Canada,23,false,36
10034,quinnrobinson99,quinnrobinson99@example.com,2021-04-26T00:00:00,2023-10-12T00:00:00,Brazil,57,false,24
10035,zoewalker55,zoewalker55@example.com,2020-08-30T00:00:00,2023-11-25T00:00:00,Germany,67,false,1
10036,graceallen80,graceallen80@example.com,2023-09-16T00:00:00,2023-10-09T00:00:00,India,72,false,44
10037,ivanrobinson18,ivanrobinson18@example.com,2019-05-18T00:00:00,2019-06-22T00:00:00,India,28,false,39
10038,yaraharris55,yaraharris55@example.com,2019-03-04T00:00:00,2021-08-18T00:00:00,Japan,22,false,34
10039,umaclark14,umaclark14@example.com,2020-06-09T00:00:00,2023-08-03T00:00:00,Mexico,62,false,45
10040,samgarcia88,samgarcia88@example.com,2020-01-13T00:00:00,,UK,63,false,14
10041,samthompson11,samthompson11@example.com,2020-11-21T00:00:00,2023-12-06T00:00:00,Canada,45,false,46
10042,gracesmith90,gracesmith90@example.com,2022-05-06T00:00:00,2023-08-31T00:00:00,Brazil,47,false,28
10043,oliviaanderson76,oliviaanderson76@example.com,2019-04-10T00:00:00,,Mexico,42,false,10
10044,ivanthompson72,ivanthompson72@example.com,2023-07-20T00:00:00,,Canada,44,false,10
10045,xavierthomas30,xavierthomas30@example.com,2019-04-04T00:00:00,2022-03-06T00:00:00,UK,34,false,45
10046,judylee73,judylee73@example.com,2019-11-04T00:00:00,2021-06-27T00:00:00,Mexico,43,false,14
10047,oliviamartin20,oliviamartin20@example.com,2023-03-27T00:00:00,2023-06-04T00:00:00,Germany,61,false,12
10048,tinadavis86,tinadavis86@example.com,2019-06-10T00:00:00,2023-04-18T00:00:00,France,31,false,26
10049,heidiwilson73,heidiwilson73@example.com,2021-10-14T00:00:00,2023-07-04T00:00:00,Australia,27,false,29
10050,judymartinez53,judymartinez53@example.com,2021-06-24T00:00:00,2023-07-27T00:00:00,Japan,36,false,18
10051,judygarcia27,judygarcia27@example.com,2022-05-31T00:00:00,2023-11-01T00:00:00,Brazil,19,false,11
